Airline_Name,Country,Passengers_May_LY,Passengers_May,MarketShare_Passengers,Passengers_YoY,Freight_2024_t,Freight_2025_t,MarketShare_Freight,Freight_YoY,Mail_2024_t,Mail_2025_t,MarketShare_Mail,Mail_YoY
Air Caledonie International,New Caledonia,3548.0,5153.0,0.2,45.2,22.7,42.3,0.0,86.3,0.4,2.1,0.1,396.4
Air Canada,Canada,27444.0,26036.0,0.8,-5.1,906.2,735.2,0.8,-18.9,33.2,25.0,1.2,-24.7
Air China,China,17975.0,15689.0,0.5,-12.7,722.4,385.3,0.4,-46.7,2.8,1.9,0.1,-32.9
Air India,India,31863.0,27350.0,0.8,-14.2,627.6,819.1,0.9,30.5,26.1,11.2,0.5,-57.1
Air Mauritius,Mauritius,4054.0,3671.0,0.1,-9.4,91.1,56.3,0.1,-38.1,,,,
Air New Zealand,New Zealand,213912.0,215882.0,6.4,0.9,3589.9,2973.1,3.3,-17.2,159.6,220.8,10.2,38.4
Air Niugini,Papua New Guinea,10350.0,11141.0,0.3,7.6,417.9,371.9,0.4,-11.0,,,,
Air Vanuatu (a),Vanuatu,1589.0,0.0,0.0,-100.0,2.8,,,-100.0,0.9,,,-100.0
AirAsia Berhad (b),Malaysia,7721.0,12475.0,0.4,61.6,,,,,,,,
AirAsia X,Malaysia,32728.0,21865.0,0.7,-33.2,764.7,620.1,0.7,-18.9,,,,
All Nippon Airways,Japan,19921.0,24298.0,0.7,22.0,950.0,1442.0,1.6,51.8,1.5,4.6,0.2,215.9
American Airlines,USA,15688.0,15073.0,0.5,-3.9,689.8,505.9,0.6,-26.7,23.1,52.4,2.4,126.8
Asiana Airlines,Korea,16664.0,15352.0,0.5,-7.9,424.6,280.8,0.3,-33.9,,,,
Batik Air Indonesia,Indonesia,13432.0,11829.0,0.4,-11.9,,,,,,,,
Beijing Capital Airlines,China,3611.0,11909.0,0.4,229.8,228.7,514.9,0.6,125.1,,,,
British Airways,ALL SERVICES,10879.0,11289.0,0.3,3.8,516.5,490.3,0.5,-5.1,32.2,25.6,1.2,-20.5
British Airways,Singapore,4651.0,4609.0,0.1,-0.9,252.0,226.2,0.3,-10.2,1.2,,,-100.0
British Airways,UK,6228.0,6680.0,0.2,7.3,264.5,264.1,0.3,-0.2,31.0,25.6,1.2,-17.4
Cathay Pacific Airways,Hong Kong (SAR),97484.0,145155.0,4.3,48.9,6046.4,6794.7,7.5,12.4,128.1,87.0,4.0,-32.1
Cebu Pacific Air,Philippines,20354.0,24764.0,0.7,21.7,503.9,695.2,0.8,38.0,,,,
China Airlines,ALL SERVICES,25094.0,27778.0,0.8,10.7,1110.9,1056.9,1.2,-4.9,48.7,47.5,2.2,-2.5
China Airlines,New Zealand,3449.0,2974.0,0.1,-13.8,146.1,160.6,0.2,9.9,,,,
China Airlines,Taiwan,21645.0,24804.0,0.7,14.6,964.8,896.4,1.0,-7.1,48.7,47.5,2.2,-2.5
China Eastern Airlines,ALL SERVICES,59512.0,67889.0,2.0,14.1,2822.1,2823.9,3.1,0.1,9.2,24.8,1.1,168.7
China Eastern Airlines,China,57710.0,65688.0,2.0,13.8,2807.9,2794.1,3.1,-0.5,9.2,24.6,1.1,166.9
China Eastern Airlines,New Zealand,1802.0,2201.0,0.1,22.1,14.2,29.9,0.0,110.9,,0.2,0.0,
China Southern Airlines,China,67622.0,72556.0,2.2,7.3,2799.5,4048.9,4.5,44.6,40.4,37.8,1.7,-6.3
Citilink Indonesia (c),Indonesia,4337.0,0.0,0.0,-100.0,28.8,,,-100.0,,,,
Delta Air Lines,USA,12189.0,13382.0,0.4,9.8,468.3,322.9,0.4,-31.0,29.5,11.6,0.5,-60.8
Emirates,ALL SERVICES,185416.0,209457.0,6.3,13.0,5811.9,7063.2,7.8,21.5,69.9,84.6,3.9,21.0
Emirates,Hong Kong (SAR),0.0,0.0,0.0,0.0,5.3,0.8,0.0,-85.4,,,,
Emirates,New Zealand,6674.0,8315.0,0.2,24.6,478.2,805.6,0.9,68.5,,,,
Emirates,Singapore,3699.0,0.0,0.0,-100.0,273.3,,,-100.0,,,,
Emirates,United Arab Emirates,175043.0,201142.0,6.0,14.9,5055.0,6256.8,6.9,23.8,69.9,84.6,3.9,21.0
Etihad Airways,United Arab Emirates,32322.0,35335.0,1.1,9.3,1114.9,918.2,1.0,-17.6,28.5,34.7,1.6,22.0
Eva Air,Taiwan,6262.0,7695.0,0.2,22.9,316.4,406.9,0.5,28.6,0.8,0.8,0.0,-1.7
Federal Express Corporation,ALL SERVICES,0.0,0.0,0.0,0.0,3167.9,2768.5,3.1,-12.6,,,,
Federal Express Corporation,China,0.0,0.0,0.0,0.0,958.6,415.5,0.5,-56.7,,,,
Federal Express Corporation,New Zealand,0.0,0.0,0.0,0.0,30.1,113.1,0.1,275.9,,,,
Federal Express Corporation,Singapore,0.0,0.0,0.0,0.0,1120.5,1284.6,1.4,14.7,,,,
Federal Express Corporation,USA,0.0,0.0,0.0,0.0,1058.7,955.3,1.1,-9.8,,,,
Fiji Airways,Fiji,58038.0,64842.0,1.9,11.7,851.4,939.9,1.0,10.4,9.8,5.0,0.2,-48.7
Garuda Indonesia,Indonesia,24818.0,26289.0,0.8,5.9,1625.6,1020.9,1.1,-37.2,10.7,7.7,0.4,-28.5
Hainan Airlines,China,11858.0,12562.0,0.4,5.9,469.5,555.7,0.6,18.3,,,,
Hawaiian Airlines,USA,9108.0,8458.0,0.3,-7.1,221.2,253.7,0.3,14.7,,,,
Indonesia AirAsia,Indonesia,37617.0,39856.0,1.2,6.0,240.2,,,-100.0,,,,
Japan Airlines,Japan,14384.0,15209.0,0.5,5.7,781.1,605.9,0.7,-22.4,25.5,22.2,1.0,-13.0
Jetstar,ALL SERVICES,373943.0,465093.0,13.9,24.4,1756.0,2067.1,2.3,17.7,30.3,35.9,1.7,18.4
Jetstar,Cook Islands,5722.0,6719.0,0.2,17.4,,0.1,0.0,,,,,
Jetstar,Fiji,9218.0,9408.0,0.3,2.1,,1.1,0.0,,,,,
Jetstar,Indonesia,152176.0,177305.0,5.3,16.5,135.5,57.3,0.1,-57.7,,,,
Jetstar,Japan,50305.0,59787.0,1.8,18.8,473.3,535.1,0.6,13.1,14.7,9.6,0.4,-34.7
Jetstar,Korea,16231.0,18295.0,0.5,12.7,197.4,299.8,0.3,51.9,2.8,4.9,0.2,76.6
Jetstar,New Zealand,75614.0,88566.0,2.6,17.1,6.9,8.6,0.0,23.4,9.7,17.3,0.8,78.7
Jetstar,Singapore,15187.0,23790.0,0.7,56.6,240.6,247.2,0.3,2.7,,,,
Jetstar,Thailand,23807.0,50334.0,1.5,111.4,289.5,485.5,0.5,67.7,1.4,1.5,0.1,5.8
Jetstar,USA,12414.0,7226.0,0.2,-41.8,192.4,153.6,0.2,-20.2,,,,
Jetstar,Vanuatu,0.0,4126.0,0.1,0.0,,5.3,0.0,,,0.8,0.0,
Jetstar,Vietnam,13269.0,19537.0,0.6,47.2,220.3,273.3,0.3,24.1,1.8,1.9,0.1,7.0
Jetstar Asia (d),Singapore,0.0,1288.0,0.0,0.0,,,,,,,,
Juneyao Air (e),China,0.0,15578.0,0.5,0.0,,696.3,0.8,,,,,
Korean Air,Korea,21873.0,23161.0,0.7,5.9,727.0,714.1,0.8,-1.8,31.1,33.7,1.6,8.3
LATAM Airlines,ALL SERVICES,18726.0,20123.0,0.6,7.5,759.8,640.7,0.7,-15.7,94.1,52.8,2.4,-43.9
LATAM Airlines,Chile,12354.0,15997.0,0.5,29.5,675.8,557.5,0.6,-17.5,94.1,52.8,2.4,-43.9
LATAM Airlines,New Zealand,6372.0,4126.0,0.1,-35.2,84.1,83.2,0.1,-1.0,0.0,,,-100.0
Malaysia Airlines,Malaysia,77444.0,80052.0,2.4,3.4,3380.0,2938.4,3.3,-13.1,13.8,31.4,1.5,128.1
Malindo Air,ALL SERVICES,44811.0,43916.0,1.3,-2.0,40.5,42.2,0.0,4.3,,,,
Malindo Air,Indonesia,30341.0,32631.0,1.0,7.5,,1.6,0.0,,,,,
Malindo Air,Malaysia,11648.0,11285.0,0.3,-3.1,40.5,40.7,0.0,0.4,,,,
Malindo Air,New Zealand,2822.0,0.0,0.0,-100.0,,,,,,,,
Nauru Airlines,ALL SERVICES,1311.0,1762.0,0.1,34.4,88.5,127.7,0.1,44.3,0.2,3.6,0.2,
Nauru Airlines,Nauru,1262.0,1762.0,0.1,39.6,86.2,89.8,0.1,4.2,0.2,3.6,0.2,
Nauru Airlines,Palau,49.0,0.0,0.0,-100.0,2.3,,,-100.0,,,,
Nauru Airlines,Solomon Islands,0.0,0.0,0.0,0.0,,37.9,0.0,,,,,
Philippine Airlines,Philippines,28978.0,33861.0,1.0,16.9,931.0,762.3,0.8,-18.1,,3.7,0.2,
Qantas Airways,ALL SERVICES,520494.0,559339.0,16.7,7.5,8903.9,8433.3,9.3,-5.3,874.2,871.9,40.3,-0.3
Qantas Airways,Botswana,0.0,0.0,0.0,0.0,67.5,,,-100.0,,,,
Qantas Airways,Canada,5376.0,5589.0,0.2,4.0,43.5,45.0,0.0,3.5,35.9,43.0,2.0,19.6
Qantas Airways,Chile,6945.0,6648.0,0.2,-4.3,98.1,33.6,0.0,-65.8,2.9,1.5,0.1,-48.5
Qantas Airways,China,8024.0,0.0,0.0,-100.0,370.7,59.7,0.1,-83.9,3.2,,,-100.0
Qantas Airways,East Timor,2342.0,2663.0,0.1,13.7,1.3,0.4,0.0,-65.5,4.8,9.1,0.4,90.1
Qantas Airways,Fiji,9689.0,9326.0,0.3,-3.7,0.1,0.0,0.0,-91.7,1.0,1.8,0.1,88.5
Qantas Airways,France,0.0,4458.0,0.1,0.0,,43.0,0.0,,,8.2,0.4,
Qantas Airways,Hong Kong (SAR),20973.0,23748.0,0.7,13.2,1462.9,1465.0,1.6,0.1,31.3,15.2,0.7,-51.4
Qantas Airways,India,15024.0,13562.0,0.4,-9.7,92.2,128.7,0.1,39.7,1.3,5.9,0.3,343.6
Qantas Airways,Indonesia,33957.0,36061.0,1.1,6.2,428.4,503.5,0.6,17.5,29.5,14.5,0.7,-51.1
Qantas Airways,Japan,54314.0,58007.0,1.7,6.8,355.6,853.9,0.9,140.1,72.4,84.0,3.9,16.0
Qantas Airways,Korea,8058.0,970.0,0.0,-88.0,71.8,4.7,0.0,-93.5,13.4,0.4,0.0,-97.2
Qantas Airways,New Caledonia,2335.0,4399.0,0.1,88.4,3.7,7.4,0.0,99.0,0.7,1.6,0.1,144.4
Qantas Airways,New Zealand,133714.0,144118.0,4.3,7.8,711.6,467.2,0.5,-34.3,283.8,265.7,12.3,-6.4
Qantas Airways,Palau,0.0,443.0,0.0,0.0,,,,,,,,
Qantas Airways,Papua New Guinea,7183.0,6352.0,0.2,-11.6,1.1,1.1,0.0,-2.3,2.8,3.0,0.1,6.0
Qantas Airways,Philippines,10286.0,17290.0,0.5,68.1,112.9,307.2,0.3,172.1,11.8,11.8,0.5,
Qantas Airways,Singapore,72608.0,83875.0,2.5,15.5,1891.4,2285.4,2.5,20.8,101.6,86.2,4.0,-15.2
Qantas Airways,Solomon Islands,1333.0,1962.0,0.1,47.2,0.1,0.1,0.0,23.5,0.3,1.6,0.1,426.4
Qantas Airways,South Africa,10073.0,13436.0,0.4,33.4,86.5,92.7,0.1,7.2,3.2,2.3,0.1,-27.4
Qantas Airways,Thailand,10490.0,11920.0,0.4,13.6,313.6,291.4,0.3,-7.1,7.4,6.8,0.3,-9.0
Qantas Airways,Tonga,1041.0,1706.0,0.1,63.9,0.2,0.4,0.0,97.6,0.1,,,-100.0
Qantas Airways,UK,26537.0,24727.0,0.7,-6.8,171.3,136.5,0.2,-20.3,67.6,81.5,3.8,20.5
Qantas Airways,USA,76716.0,82333.0,2.5,7.3,2618.0,1701.0,1.9,-35.0,198.6,224.9,10.4,13.2
Qantas Airways,Vanuatu,0.0,2234.0,0.1,0.0,,5.2,0.0,,,3.0,0.1,
Qantas Airways,Western Samoa,3476.0,3512.0,0.1,1.0,1.5,0.3,0.0,-80.5,0.5,0.1,0.0,-76.3
Qatar Airways,Qatar,116925.0,119681.0,3.6,2.4,3695.8,2910.6,3.2,-21.2,53.0,50.9,2.4,-4.0
Royal Brunei Airlines,Brunei,4040.0,5417.0,0.2,34.1,316.5,389.9,0.4,23.2,0.0,0.6,0.0,
Scoot Tigerair,Singapore,89791.0,90563.0,2.7,0.9,1464.5,1429.1,1.6,-2.4,13.6,23.2,1.1,70.8
Sichuan Airlines,China,13037.0,17579.0,0.5,34.8,346.1,416.6,0.5,20.4,4.9,13.1,0.6,166.5
Singapore Airlines,ALL SERVICES,292094.0,305766.0,9.1,4.7,14491.1,15406.0,17.1,6.3,30.5,29.1,1.3,-4.4
Singapore Airlines,New Zealand,0.0,0.0,0.0,0.0,438.2,492.3,0.5,12.3,,,,
Singapore Airlines,Singapore,292094.0,305766.0,9.1,4.7,12965.6,13590.9,15.1,4.8,30.5,29.1,1.3,-4.4
Singapore Airlines,USA,0.0,0.0,0.0,0.0,1087.3,1322.8,1.5,21.7,,,,
Solomon Airlines,ALL SERVICES,2348.0,3739.0,0.1,59.2,22.2,23.4,0.0,5.6,,,,
Solomon Airlines,New Zealand,0.0,589.0,0.0,0.0,,0.4,0.0,,,,,
Solomon Airlines,Solomon Islands,2348.0,2331.0,0.1,-0.7,22.2,15.7,0.0,-29.2,,,,
Solomon Airlines,Vanuatu,0.0,819.0,0.0,0.0,,7.3,0.0,,,,,
South African Airways,South Africa,4477.0,7012.0,0.2,56.6,54.0,163.1,0.2,201.7,,,,
SriLankan Airlines,Sri Lanka,20254.0,24234.0,0.7,19.7,556.8,685.7,0.8,23.2,3.2,3.8,0.2,20.0
T'way Air,Korea,7698.0,8323.0,0.2,8.1,54.2,211.5,0.2,290.1,9.0,0.8,0.0,-90.9
Tasman Cargo Airlines,ALL SERVICES,0.0,0.0,0.0,0.0,6365.4,3290.6,3.6,-48.3,,,,
Tasman Cargo Airlines,Hong Kong (SAR),0.0,0.0,0.0,0.0,2310.3,1181.7,1.3,-48.9,,,,
Tasman Cargo Airlines,New Zealand,0.0,0.0,0.0,0.0,3171.1,2108.8,2.3,-33.5,,,,
Tasman Cargo Airlines,Singapore,0.0,0.0,0.0,0.0,884.0,,,-100.0,,,,
Thai AirAsia X (f),Thailand,2945.0,0.0,0.0,-100.0,100.3,,,-100.0,,,,
Thai Airways International,Thailand,55268.0,69951.0,2.1,26.6,2228.5,2567.9,2.8,15.2,14.3,19.5,0.9,36.1
Tianjin Airlines,China,3597.0,3967.0,0.1,10.3,139.0,100.1,0.1,-28.0,3.1,5.9,0.3,90.7
TransNusa (g),Indonesia,0.0,3295.0,0.1,0.0,,,,,,,,
Turkish Airlines,ALL SERVICES,5030.0,11566.0,0.3,129.9,316.6,568.8,0.6,79.6,1.3,2.5,0.1,90.0
Turkish Airlines,Singapore,975.0,980.0,0.0,0.5,,0.1,0.0,,,,,
Turkish Airlines,Turkey,4055.0,10586.0,0.3,161.1,316.6,568.7,0.6,79.6,1.3,2.5,0.1,90.0
United Airlines,USA,43807.0,45591.0,1.4,4.1,2164.2,1468.5,1.6,-32.1,305.8,271.4,12.5,-11.3
United Parcel Service,ALL SERVICES,0.0,0.0,0.0,0.0,1898.3,1806.1,2.0,-4.9,,,,
United Parcel Service,China,0.0,0.0,0.0,0.0,488.9,430.9,0.5,-11.9,,,,
United Parcel Service,Korea,0.0,0.0,0.0,0.0,107.3,80.7,0.1,-24.8,,,,
United Parcel Service,Singapore,0.0,0.0,0.0,0.0,83.0,78.7,0.1,-5.1,,,,
United Parcel Service,USA,0.0,0.0,0.0,0.0,1219.1,1215.8,1.3,-0.3,,,,
Vietjet Air,Vietnam,31569.0,37810.0,1.1,19.8,474.4,559.3,0.6,17.9,,,,
Vietnam Airlines,Vietnam,41128.0,42788.0,1.3,4.0,1391.7,1304.8,1.4,-6.2,2.8,1.8,0.1,-37.9
Virgin Australia,ALL SERVICES,84119.0,81436.0,2.4,-3.2,,,,,,,,
Virgin Australia,Fiji,19635.0,19746.0,0.6,0.6,,,,,,,,
Virgin Australia,Indonesia,44987.0,44101.0,1.3,-2.0,,,,,,,,
Virgin Australia,Japan,4211.0,0.0,0.0,-100.0,,,,,,,,
Virgin Australia,New Zealand,6993.0,9542.0,0.3,36.5,,,,,,,,
Virgin Australia,Vanuatu,6479.0,6876.0,0.2,6.1,,,,,,,,
Virgin Australia,Western Samoa,1814.0,1171.0,0.0,-35.4,,,,,,,,
Xiamen Airlines,China,23860.0,24928.0,0.7,4.5,868.7,1036.1,1.1,19.3,,1.1,0.1,
